시군구명,시설종류,시설명,장기요양지정기관 여부,도로명 주소,지번 주소,전화번호,FAX번호,우편번호,입소정원,입소현원-계,입소현원-남자,입소현원-여자,입소현원-등급내(시설급여1~5급),입소현원-등급외,입소현원-기초수급자,입소현원-기초수급자외,종사자정원,종사자현원-계,종사자현원-남자,종사자현원-여자,종사자현원-정규직,종사자현원-비정규직,설치일자,설치주체-지자체,설치주체-민간,운영주체-구분,운영주체-법인(단체)명,영리/비영리,비고,WGS84위도,WGS84경도
가평군,노인요양시설(개정법),이레요양원,지정,경기도 가평군 설악면 유명로 1277-26,경기도 가평군 설악면 천안리 415-3번지,031-585-0947,031-585-0948,12469,15,11,2,9,0,11,3,8,7,8,2,6,8,0,2005-09-23,,개인,개인,,영리,,37.6488621239,127.4744146112
가평군,노인요양시설(개정법),한솔너싱홈청평센터,지정,경기도 가평군 청평면 북한강로 2070,경기도 가평군 청평면 삼회리 188-5번지,031-584-3889,031-584-3887,12458,29,28,3,25,28,0,3,25,17,17,5,12,17,0,2008-08-06,,개인,개인,,영리,,37.7007000698,127.3958968985
고양시,노인요양시설(개정법),(가장)다정한요양원,지정,경기도 고양시 덕양구 중앙로558번길 16-12,경기도 고양시 덕양구 행신동 948-1번지,031-9790-9020,031-9790-9030,10495,25,25,3,22,25,0,3,22,25,14,0,14,3,11,2013-05-16,,개인,개인,,영리,,37.6238344124,126.8364225436
고양시,노인요양시설(개정법),(고양)다솜요양원,지정,경기도 고양시 덕양구 충장로 122,경기도 고양시 덕양구 행신동 999-2번지,031-9690-7000,031-9710-4575,10518,94,66,21,45,62,4,15,51,0,43,5,38,43,0,2013-09-23,,개인,개인,,영리,,37.6235052997,126.8340004250
고양시,노인요양시설(개정법),(고양)서울요양원,지정,경기도 고양시 덕양구 보광로128번길 16-2,경기도 고양시 덕양구 벽제동 543-21번지,031-9630-3020,031-9690-3020,10267,75,72,18,54,72,0,13,59,44,49,8,41,47,2,2014-01-28,,개인,개인,,영리,,37.7256576096,126.9093876548
고양시,노인요양시설(개정법),(고양)어울림요양원,지정,경기도 고양시 덕양구 중앙로 628,경기도 고양시 덕양구 화정동 1148-1번지,031-973-5955,031-972-5955,10503,29,28,10,18,28,0,8,20,29,17,2,15,17,0,2016-03-03,,개인,개인,,영리,,37.6275324506,126.8289101559
고양시,노인요양시설(개정법),(고양)참사랑요양원,지정,경기도 고양시 덕양구 보광로128번길 16,경기도 고양시 덕양구 벽제동 543-27번지,031-9630-3100,031-9630-3113,10267,66,62,19,43,61,1,16,46,43,42,6,36,4,38,2012-09-07,,개인,개인,,영리,,37.7259625677,126.9090901949
고양시,노인요양시설(개정법),(사)사랑채유료노인전문요양원,지정,경기도 고양시 덕양구 통일로 413-19,경기도 고양시 덕양구 대자동 241-6번지,031-9690-0070,031-9620-7002,10566,44,28,6,22,27,1,5,23,22,23,5,18,22,1,2012-09-20,,그외법인,사단법인,사단법인사랑채,비영리,,37.6723058776,126.8842516851
고양시,노인요양시설(개정법),(행복)다인요양원,지정,경기도 고양시 덕양구 화신로 267,경기도 고양시 덕양구 화정동 1002-3번지,031-9710-5858,031-9720-8999,10503,47,0,4,42,46,0,5,41,32,32,1,31,32,0,2017-02-01,,개인,개인,,영리,,37.6305218731,126.8315578734
고양시,노인요양시설(개정법),A+ (참)편한요양원,지정,경기도 고양시 덕양구 무원로6번길 61,경기도 고양시 덕양구 행신동 713-1번지,031-9730-0031,031-9730-0021,10523,29,28,3,25,28,0,3,25,16,17,1,16,7,10,2012-03-22,,개인,개인,,영리,,37.6147847961,126.8331830895
고양시,노인요양공동생활가정,ESH엘림복지원,지정,경기도 고양시 일산동구 지영로148번길 74-10,경기도 고양시 일산동구 지영동 752-1번지,031-9770-0207,031-9770-2468,10256,9,9,0,9,9,0,3,6,6,6,1,5,6,0,2006-05-12,,개인,개인,,영리,,37.7109515176,126.8260029447
고양시,노인요양시설(개정법),e0 한나의집,지정,경기도 고양시 일산동구 지영로229번길 31-18,경기도 고양시 일산동구 지영동 261번지,031-9620-6938,031-9640-4166,10254,41,38,13,25,36,2,6,32,27,27,7,20,23,4,2014-03-13,,개인,개인,,영리,,37.7175612730,126.8265444194
고양시,노인요양공동생활가정,가족사랑요양원,지정,경기도 고양시 일산서구 고봉로 339,경기도 고양시 일산서구 일산동 583-96번지,031-9760-8081,031-9760-8082,10339,9,6,1,5,6,0,0,6,0,4,0,4,4,0,2014-11-07,,개인,개인,,영리,,37.6895059238,126.7767799988
고양시,노인요양시설(개정법),가좌호수요양원,지정,경기도 고양시 일산서구 송산로 390,경기도 고양시 일산서구 가좌동 346-6번지,031-9140-4860,031-9140-4861,10214,78,61,26,35,61,0,6,55,0,38,6,32,38,0,2018-05-11,,그외법인,주식회사,가좌호수요양원 주식회사,영리,,37.6849673838,126.7221931518
고양시,노인요양시설(개정법),경희요양원,지정,경기도 고양시 덕양구 성신로 6-27,경기도 고양시 덕양구 화정동 1145-2번지,031-9700-0911,031-9700-0916,10503,29,29,2,27,29,0,1,28,0,16,2,14,16,0,2010-11-04,,개인,개인,,영리,,37.6272012890,126.8309076605
고양시,노인요양시설(개정법),고양 사랑방 요양원,지정,경기도 고양시 덕양구 호국로 773,경기도 고양시 덕양구 주교동 609-3번지,031-9230-7582,031-9630-0002,10461,29,27,7,20,26,1,4,23,15,15,2,13,15,0,2015-10-01,,개인,개인,,영리,,37.6556513652,126.8348244058
고양시,노인요양공동생활가정,고양노블요양원,지정,경기도 고양시 덕양구 동헌로 127-3,경기도 고양시 덕양구 관산동 17-51번지,031-9620-3021,031-9630-3023,10266,9,8,1,7,7,1,8,0,5,7,1,6,7,0,2016-10-11,,개인,개인,,영리,,37.7081625871,126.8709765791
고양시,노인요양시설(개정법),고양누리요양원,지정,경기도 고양시 일산동구 동국로 137-19,경기도 고양시 일산동구 식사동 738-1번지,031-9660-1199,031-9680-3344,10320,49,49,13,36,49,0,3,46,29,29,13,16,28,1,2016-09-21,,개인,개인,,영리,,37.6848167937,126.8033527814
고양시,노인요양시설(개정법),고양시소규모노인종합센터,지정,경기도 고양시 덕양구 호국로790번길 42-9,경기도 고양시 덕양구 성사동 705번지,031-9670-3403,031-9670-3402,10464,15,15,1,14,14,1,8,7,15,13,2,11,11,2,2012-01-01,,사회복지법인,사회복지법인,사회복지법인효샘,비영리,,37.6549580990,126.8381635985
고양시,노인요양공동생활가정,고양우리집,지정,경기도 고양시 덕양구 고골길264번길 3-13,경기도 고양시 덕양구 대자동 705-1번지,031-969-9345,031-969-9346,10265,9,0,1,8,9,0,6,3,0,7,1,6,7,0,2012-01-01,,사회복지법인,사회복지법인,사회복지법인 효샘,비영리,,37.7216023616,126.8779774712
고양시,노인요양시설(개정법),고양은혜마을,지정,경기도 고양시 덕양구 고골길264번길 73-17,경기도 고양시 덕양구 대자동 684-11번지,031-9630-7302,031-9690-7302,10265,49,46,16,30,45,1,7,39,28,32,6,26,5,27,2014-02-13,,개인,개인,,영리,,37.7188781817,126.8792710606
고양시,노인요양시설(개정법),고양카리스요양원,지정,경기도 고양시 덕양구 호국로 773,경기도 고양시 덕양구 주교동 609-3번지,031-9670-6669,031-9680-6669,10461,14,12,3,9,12,0,4,8,14,9,1,8,9,0,2015-12-01,,개인,개인,,영리,,37.6556513652,126.8348244058
고양시,노인요양공동생활가정,고운맘요양원,지정,경기도 고양시 일산서구 일중로 17,경기도 고양시 일산서구 일산동 524-16번지,031-9750-0075,031-9760-8296,10353,9,9,0,9,9,0,0,9,0,6,0,6,6,0,2013-08-29,,개인,개인,,영리,,37.6813421054,126.7741941934
고양시,노인요양시설(개정법),공경의집,지정,경기도 고양시 일산동구 상지석길 441,경기도 고양시 일산동구 설문동 701-1번지,031-9770-3945,031-9770-3941,10245,80,57,5,52,52,5,4,53,35,37,5,32,34,3,2006-02-06,,사회복지법인,사회복지법인,사회복지법인 박애재단,비영리,,37.7268222644,126.7949366706
고양시,노인요양시설(개정법),나누리요양원,지정,경기도 고양시 덕양구 중앙로558번길 16-12,경기도 고양시 덕양구 행신동 948-1번지,031-9710-3383,031-9710-3384,10495,24,24,4,20,24,0,6,18,16,16,1,15,3,13,2014-09-16,,개인,개인,,영리,,37.6238344124,126.8364225436
고양시,노인요양시설(개정법),나눔애요양원,지정,경기도 고양시 일산동구 숲속마을1로 71,경기도 고양시 일산동구 풍동 1279-4번지,031-9210-7717,031-9050-9575,10306,41,37,9,28,30,7,7,30,25,27,3,24,27,0,2012-02-09,,개인,개인,,영리,,37.6673637526,126.7997288510
고양시,노인요양공동생활가정,노블케어 일산점,지정,경기도 고양시 일산서구 고봉로 339,경기도 고양시 일산서구 일산동 583-96번지,031-9750-5690,031-9750-5492,10339,9,9,4,5,7,2,1,8,0,8,1,7,7,1,2016-12-12,,개인,개인,,영리,,37.6895059238,126.7767799988
고양시,노인요양시설(개정법),노블케어(중산점),지정,경기도 고양시 일산동구 탄중로 325-7,경기도 고양시 일산동구 중산동 1569번지,031-9750-5490,031-9750-5692,10331,34,33,10,23,33,0,4,29,21,21,4,17,20,1,2013-06-14,,개인,개인,,영리,,37.6936787924,126.7811630911
고양시,노인요양시설(개정법),누리요양원,지정,경기도 고양시 일산동구 성현로138번길 99-13,경기도 고양시 일산동구 성석동 558-18번지,031-9760-8806,031-9760-9192,10312,49,42,14,28,42,0,10,32,29,29,2,27,6,23,2016-04-26,,개인,개인,,영리,,37.7049234573,126.8030511820
고양시,노인요양시설(개정법),늘사랑 요양원,지정,경기도 고양시 덕양구 내유길 64-15,경기도 고양시 덕양구 내유동 266-2번지,031-9620-8372,031-9630-3317,10264,21,21,2,19,21,0,4,17,21,14,1,13,14,0,2015-11-26,,개인,개인,,영리,,37.7200148993,126.8559441307
고양시,노인요양시설(개정법),닥터케어요양센터,지정,경기도 고양시 덕양구 고양대로 1365,경기도 고양시 덕양구 성사동 700-9번지,031-9640-4788,031-9640-4785,10464,49,48,14,34,47,1,0,48,30,30,3,27,7,23,2016-09-12,,개인,개인,,영리,,37.6549907396,126.8359526391
고양시,노인요양시설(개정법),더조은 요양원,지정,경기도 고양시 일산동구 공릉천로 300-12,경기도 고양시 일산동구 지영동 1078번지,031-9630-2201,070-4440-8711,10255,83,79,29,50,77,2,9,70,45,53,5,48,47,6,2018-01-02,,개인,개인,,영리,,37.7184085897,126.8393014754
고양시,노인요양시설(개정법),덕양요양원,지정,경기도 고양시 덕양구 화중로130번길 48,경기도 고양시 덕양구 화정동 906번지,031-9680-2501,031-9670-2501,10477,25,25,9,16,25,0,5,20,25,15,1,14,15,0,2015-08-10,,개인,개인,,영리,,37.6382444531,126.8344242528
고양시,노인요양공동생활가정,도담사랑요양원,지정,경기도 고양시 덕양구 서정마을1로 8,경기도 고양시 덕양구 행신동 1080-4번지,031-9710-2235,031-9710-3336,10486,9,10,4,6,10,0,4,6,5,10,1,9,1,9,2012-12-31,,개인,개인,,영리,,37.6189549310,126.8455196193
고양시,노인요양공동생활가정,도담요양원,지정,경기도 고양시 덕양구 서정마을1로 8,경기도 고양시 덕양구 행신동 1080-4번지,031-9710-2235,031-9710-3336,10486,9,9,2,7,9,0,2,7,5,6,2,4,1,5,2012-10-25,,개인,개인,,영리,,37.6189549310,126.8455196193
고양시,노인요양시설(개정법),동산 홈케어,지정,경기도 고양시 일산동구 문원길102번길 113,경기도 고양시 일산동구 설문동 74-1번지,070-4116-4494,031-976-1033,10254,27,24,12,12,23,1,8,16,15,15,4,11,15,0,2017-04-18,,개인,개인,,영리,,37.7191115538,126.8233987437
고양시,노인요양시설(개정법),따뜻한요양원,지정,경기도 고양시 덕양구 백양로 51,경기도 고양시 덕양구 화정동 1000-3번지,031-9740-2210,031-9740-2216,10503,28,28,4,24,28,0,3,25,16,18,1,17,17,1,2015-11-02,,개인,개인,,영리,,37.6303061060,126.8332484250
고양시,노인요양공동생활가정,레익스21한국(주)요양원,지정,경기도 고양시 일산서구 대화1로 74,경기도 고양시 일산서구 대화동 751-10번지,031-9140-9115,031-9140-9116,10218,9,7,1,6,7,0,1,6,0,6,1,5,5,1,2012-08-09,,그외법인,주식회사,레익스21한국㈜,영리,,37.6713407090,126.7347858339
고양시,노인요양시설(개정법),마두 은혜 노인요양시설,지정,경기도 고양시 일산동구 강석로 145,경기도 고양시 일산동구 마두동 799-4번지,031-9050-4123,031-8038-4593,10414,22,22,0,22,22,0,7,15,15,15,1,14,14,1,2014-12-31,,개인,개인,,영리,,37.6534959574,126.7779002858
고양시,노인요양공동생활가정,명지노인요양원,지정,경기도 고양시 일산동구 탄중로 325-7,경기도 고양시 일산동구 중산동 1569번지,070-7562-3718,031-9760-3718,10331,9,9,1,8,9,0,3,6,9,9,3,6,6,3,2010-06-30,,개인,개인,,영리,,37.6936787924,126.7811630911
고양시,노인요양시설(개정법),미소래요양원,지정,경기도 고양시 덕양구 내유길 127,경기도 고양시 덕양구 내유동 107번지,031-9680-7900,031-9680-0069,10264,25,25,9,16,25,0,0,25,25,17,4,13,17,0,2011-11-01,,개인,개인,,영리,,37.7229268902,126.8610478183
고양시,노인요양시설(개정법),미소요양센터,지정,경기도 고양시 일산동구 탄중로 326-10,경기도 고양시 일산동구 중산동 1570-1번지,031-9750-1277,031-9750-0124,10333,27,25,6,19,25,0,6,19,20,20,3,17,18,2,2017-06-30,,개인,개인,,영리,,37.6928664084,126.7809667690
고양시,노인요양시설(개정법),미소인요양원,지정,경기도 고양시 덕양구 행주산성로 177,경기도 고양시 덕양구 행주외동 215-3번지,031-9740-7888,031-9740-7887,10440,99,89,37,52,83,6,1,88,52,58,7,51,0,58,2017-04-28,,개인,개인,,영리,,37.6016238368,126.8140531938
고양시,노인요양시설(개정법),민들레실버홈,지정,경기도 고양시 덕양구 성신로 6-27,경기도 고양시 덕양구 화정동 1145-2번지,031-9710-7373,031-9710-7880,10503,29,29,6,23,29,0,3,26,29,19,1,18,2,17,2013-07-18,,개인,개인,,영리,,37.6272012890,126.8309076605
고양시,노인요양공동생활가정,민들레요양원,지정,경기도 고양시 덕양구 중앙로 628,경기도 고양시 덕양구 화정동 1148-1번지,031-9380-7373,031-9380-7375,10503,9,7,3,4,7,0,0,7,6,6,2,4,5,1,2016-08-01,,개인,개인,,영리,,37.6275324506,126.8289101559
고양시,노인요양공동생활가정,밝은아침 요양원,지정,경기도 고양시 일산동구 성현로93번길 25-24,경기도 고양시 일산동구 성석동 992-10번지,031-9770-0286,031-9770-0204,10250,9,0,0,9,9,0,0,9,0,7,1,6,1,6,2015-07-01,,개인,개인,,영리,,37.7091311096,126.7967266533
고양시,노인요양시설(개정법),백세케어요양원,지정,경기도 고양시 일산동구 고봉로702번길 21-35,경기도 고양시 일산동구 설문동 756-21번지,031-9760-7865,031-9760-7864,10251,28,29,8,21,29,0,1,28,15,17,5,12,16,1,2010-04-20,,개인,개인,,영리,,37.7191175535,126.7921844216
고양시,노인요양공동생활가정,백합요양원,지정,경기도 고양시 일산서구 탄중로275번길 66,경기도 고양시 일산서구 탄현동 5-4번지,031-9140-8700,031-9110-4533,10247,9,0,0,0,0,0,0,0,0,2,1,1,1,1,2016-10-12,,개인,개인,,영리,,37.6973537155,126.7763407871
고양시,노인요양공동생활가정,별궁요양원,지정,경기도 고양시 덕양구 마상로154번길 68,경기도 고양시 덕양구 성사동 696-2번지,031-9680-3024,031-9680-3014,10463,9,9,2,7,9,0,4,5,6,6,0,6,4,2,2013-10-04,,개인,개인,,영리,,37.6565015564,126.8369481762
고양시,노인요양공동생활가정,별궁요양원(1),지정,경기도 고양시 덕양구 마상로154번길 68,경기도 고양시 덕양구 성사동 696-2번지,031-9680-3024,031-9680-3014,10463,9,5,0,5,5,0,0,5,6,5,0,5,4,1,2015-02-03,,개인,개인,,영리,,37.6565015564,126.8369481762
고양시,노인요양시설(개정법),보금자리요양원,지정,경기도 고양시 일산서구 원일로 69,경기도 고양시 일산서구 일산동 606-1번지,031-9750-1252,031-9750-1252,10350,14,2,0,2,2,0,1,1,0,5,1,4,0,5,2017-12-05,,개인,개인,,영리,,37.6867611829,126.7701604969
고양시,노인요양시설(개정법),복이든 요양원,지정,경기도 고양시 일산서구 일산로 690,경기도 고양시 일산서구 대화동 2099번지,031-9170-8500,031-9170-0037,10367,45,45,4,41,45,0,3,42,0,33,3,30,33,0,2014-10-01,,개인,개인,,영리,,37.6815081097,126.7531441309
고양시,노인요양시설(개정법),봄 여성전문요양원,지정,경기도 고양시 일산동구 탄중로 326-10,경기도 고양시 일산동구 중산동 1570-1번지,031-9120-0577,031-9770-7577,10333,28,24,10,14,24,0,3,21,0,15,1,14,15,0,2012-02-12,,개인,개인,,영리,,37.6928664084,126.7809667690
고양시,노인요양시설(개정법),부추꽃요양원,지정,경기도 고양시 일산동구 성석로 30,경기도 고양시 일산동구 중산동 12-2번지,031-9770-8200,031-9770-9920,10319,28,19,6,13,18,1,2,17,0,15,2,13,15,0,2017-08-07,,개인,개인,,영리,,37.6828675961,126.7908619050
고양시,노인요양공동생활가정,사랑노인요양공동생활가정,지정,경기도 고양시 일산동구 중산로 250,경기도 고양시 일산동구 중산동 1568-2번지,031-9760-6398,031-9770-5954,10331,9,9,3,6,9,0,3,6,5,5,0,5,5,0,2014-11-06,,개인,개인,,영리,,37.6941735206,126.7809995171
고양시,노인요양공동생활가정,사랑방요양센터,지정,,경기도 고양시 일산서구 대화동 2234번지 장성마을3단지아파트,031-9190-6606,031-9190-6609,10382,7,6,0,6,6,0,0,6,0,5,1,4,0,5,2010-03-03,,개인,개인,,영리,,37.6721567731,126.7453343586
고양시,노인요양공동생활가정,사랑의집,지정,경기도 고양시 덕양구 보광로 165,경기도 고양시 덕양구 벽제동 554-8번지,031-9640-1178,031-9640-1179,10267,5,4,1,3,4,0,2,2,4,4,1,3,4,0,2008-06-10,,개인,개인,,영리,,37.7295971862,126.9095492857
고양시,노인요양시설(개정법),사임당요양원,지정,경기도 고양시 일산서구 하이파크2로 42,경기도 고양시 일산서구 덕이동 1544번지,031-9180-1388,031-9180-1389,10234,26,25,6,19,25,0,2,23,0,19,6,13,0,19,2016-12-29,,개인,개인,,영리,,37.6990709886,126.7539661867
고양시,노인요양공동생활가정,새생명실버홈1 노인요양공동생활가정1,지정,경기도 고양시 덕양구 충장로 7,경기도 고양시 덕양구 행신동 707-2번지,031-9710-3091,031-9710-3092,10523,9,9,0,9,8,1,0,9,7,7,1,6,6,1,2016-12-01,,개인,개인,,영리,,37.6136069247,126.8336921487
고양시,노인요양공동생활가정,새생명실버홈1 노인요양공동생활가정2,지정,경기도 고양시 덕양구 충장로 7,경기도 고양시 덕양구 행신동 707-2번지,031-9710-3091,031-9710-3092,10523,9,9,4,5,9,0,1,8,7,7,1,6,6,1,2016-12-01,,개인,개인,,영리,,37.6136069247,126.8336921487
고양시,노인요양공동생활가정,새생명실버홈2 노인요양공동생활가정1,지정,경기도 고양시 덕양구 충장로 7,경기도 고양시 덕양구 행신동 707-2번지,031-9710-3097,031-9710-3092,10523,9,8,0,8,7,1,0,8,6,6,1,5,6,0,2015-04-24,,개인,개인,,영리,,37.6136069247,126.8336921487
고양시,노인요양공동생활가정,새생명실버홈2노인요양공동생활가정2,지정,경기도 고양시 덕양구 충장로 7,경기도 고양시 덕양구 행신동 707-2번지,031-9710-3097,031-9710-3092,10523,9,8,2,6,8,0,0,8,6,6,1,5,6,0,2015-04-24,,개인,개인,,영리,,37.6136069247,126.8336921487
고양시,노인요양시설(개정법),새생명요양원,지정,경기도 고양시 덕양구 충장로 122,경기도 고양시 덕양구 행신동 999-2번지,031-9380-0211,031-9380-0233,10518,48,47,9,38,47,0,3,44,27,27,5,22,26,1,2015-05-08,,개인,개인,,영리,,37.6235052997,126.8340004250
고양시,노인요양시설(개정법),샤론요양원,지정,경기도 고양시 덕양구 중앙로 559,경기도 고양시 덕양구 행신동 999-1번지,031-9780-1788,031-9780-1789,10518,41,41,5,36,41,0,1,40,30,30,3,27,30,0,2010-03-01,,개인,개인,,영리,,37.6235455700,126.8347479770
고양시,노인요양시설(개정법),샬롬의집,지정,경기도 고양시 덕양구 보광로266번길 76,경기도 고양시 덕양구 벽제동 639번지,031-9660-1422,031-9660-1250,10267,61,61,13,48,60,1,5,56,36,37,4,33,36,1,2012-06-29,,개인,개인,,영리,,37.7377819017,126.9169408563
고양시,노인요양시설(개정법),서로의향기요양원,지정,경기도 고양시 덕양구 명봉산로6번길 201-25,경기도 고양시 덕양구 내유동 770-1번지,031-9640-4177,031-9640-4170,10263,69,54,16,38,52,2,11,43,0,36,6,30,35,1,2011-07-27,,개인,개인,,영리,,37.7327177692,126.8499782263
고양시,노인요양시설(개정법),서오릉요양원,지정,경기도 고양시 덕양구 용두로35번길 18,경기도 고양시 덕양구 용두동 275-11번지,02-357-4189,02-357-4187,10549,25,24,5,19,24,0,6,18,16,16,2,14,16,0,2012-09-23,,개인,개인,,영리,,37.6239834512,126.8855797372
고양시,노인요양공동생활가정,선민요양원,지정,경기도 고양시 일산서구 중앙로 1547,경기도 고양시 일산서구 대화동 2239번지,031-9170-4733,031-9170-4732,10380,9,8,4,4,8,0,1,7,0,8,1,7,7,1,2013-06-25,,개인,개인,,영리,,37.6747974930,126.7495486697
고양시,노인요양공동생활가정,성지 노인요양원,지정,경기도 고양시 일산동구 중산로 245,경기도 고양시 일산동구 중산동 1561번지,070-8627-3737,031-975-1935,10336,9,5,4,1,5,0,1,4,5,8,3,5,7,1,2009-07-28,,개인,개인,,영리,,37.6938900460,126.7803330379
고양시,노인요양공동생활가정,소망의집,지정,경기도 고양시 일산동구 문원길102번길 51,경기도 고양시 일산동구 설문동 114-1번지,031-9770-8671,031-9770-0351,10254,8,7,2,5,6,1,3,4,4,4,1,3,4,0,1999-03-20,,개인,개인,,영리,,37.7172652707,126.8205108973
고양시,노인요양시설(개정법),소중한사람 노인요양시설,지정,경기도 고양시 일산서구 일청로 80,경기도 고양시 일산서구 일산동 1830번지,031-9110-0886,031-6960-5102,10339,28,27,8,19,27,0,3,24,0,20,2,18,20,0,2015-01-21,,개인,개인,,영리,,37.6904565538,126.7745363673
고양시,노인요양공동생활가정,송진 노인요양공동생활가정,지정,경기도 고양시 일산서구 송파로202번길 43,경기도 고양시 일산서구 가좌동 610-2번지,031-9230-4278,031-9230-8173,10205,9,8,0,8,8,0,2,6,0,9,0,9,8,1,2009-11-02,,개인,개인,,영리,,37.6986437045,126.7172520488
고양시,노인요양공동생활가정,수정실버하우스,지정,경기도 고양시 일산서구 법곳길 567-45,경기도 고양시 일산서구 구산동 1519-1번지,031-9250-2887,031-9250-2886,10200,9,9,0,9,9,0,1,8,0,8,1,7,6,2,2006-05-12,,개인,개인,,영리,,37.6843395321,126.6839687012
고양시,노인요양시설(개정법),숲속요양원,지정,경기도 고양시 일산동구 숲속마을로 50-76,경기도 고양시 일산동구 풍동 1273-6번지,031-9090-5525,031-9080-5526,10306,16,15,4,11,15,0,2,13,11,12,0,12,10,2,2017-06-15,,개인,개인,,영리,,37.6677543174,126.7987160382
고양시,노인요양시설(개정법),신성노인요양센터,지정,경기도 고양시 일산동구 노첨길 74,경기도 고양시 일산동구 장항동 615-3번지,070-8848-9335,031-906-9335,10432,28,27,3,24,27,0,4,23,16,16,3,13,15,1,2009-11-13,,개인,개인,,영리,,37.6370676286,126.7783653311
고양시,노인요양시설(개정법),신원당요양원,지정,경기도 고양시 덕양구 고양대로 1349,경기도 고양시 덕양구 주교동 609-7번지,031-9630-0815,031-9630-0816,10461,23,23,3,20,23,0,3,20,14,14,2,12,14,0,2013-12-03,,개인,개인,,영리,,37.6554131944,126.8341463207
고양시,노인요양공동생활가정,아름다운 노년과 풍경,지정,경기도 고양시 덕양구 신평길 136-38,경기도 고양시 덕양구 신평동 3-141번지,031-9720-9094,031-9710-2587,10427,9,5,1,4,5,0,0,5,0,5,2,3,5,0,2009-10-21,,개인,개인,,영리,,37.6235028764,126.7902930461
고양시,노인요양시설(개정법),아름다운인생요양원,지정,경기도 고양시 일산동구 고양대로 866-17,경기도 고양시 일산동구 중산동 35-13번지,031-9750-3131,031-9750-6226,10311,88,79,21,58,76,3,6,73,53,53,6,47,0,53,2016-09-01,,개인,개인,,영리,,37.6784887883,126.7911303942
